street,city,state,zipcode,latitude,longitude,license,expiration
797 Crestwood Dr,Big Bear Lake,CA,92315,34.2378977,-116.8855359,BCA-103740,11/13/2021
43354 Deer Canyon Rd,Big Bear Lake,CA,92315,34.2314553,-116.8561327,BCA-104268,11/30/2021
43272 Deer Canyon Rd,Big Bear Lake,CA,92315,34.232413,-116.8578813,BCA-104396,12/18/2021
316 Vista Ln,Edmond,OK,73034,35.6514615,-97.45116089999999,BCA-103895,10/18/2021
523 Vista Blvd,Sparks,NV,89434,39.5364934,-119.7044629,BCA-104594,1/7/2022
505 Wanita Ln,Big Bear Lake,CA,92315,34.2434698,-116.9243659,BCA-102480,6/6/2021
530 Wanita Ln,Big Bear Lake,CA,92315,34.24306850000001,-116.924872,BCA-103860,10/12/2021
38822 Waterview Dr,Big Bear Lake,CA,92315,34.2449588,-116.9546798,BCA-103245,9/27/2021
39080 Waterview Dr,Big Bear Lake,CA,92315,34.2448489,-116.9495281,BCA-102824,8/11/2021
508 Waynoka Ln,Big Bear Lake,CA,92315,34.2435496,-116.925562,BCA-103537,10/10/2021
42574 Willow Ave,Big Bear Lake,CA,92315,34.2364044,-116.8732505,BCA-103437,9/1/2021
41593 Brownie Ln,Big Bear Lake,CA,92315,34.2421234,-116.8946175,BCA-105267,3/27/2022
42141 Brownie Ln,Big Bear Lake,CA,92315,34.2437422,-116.8822691,BCA-104773,12/1/2021
915 Cameron Dr,Kinston,NC,28501,35.2806901,-77.5932277,BCA-105323,3/1/2022
930 Cameron Dr,Big Bear Lake,CA,92315,34.2358864,-116.9130029,BCA-102736,6/18/2021
1024 Cameron Dr,Big Bear Lake,CA,92315,34.2338238,-116.9123588,BCA-103467,10/3/2021
43731 Canyon Crest Dr,Big Bear,CA,92314,34.2319556,-116.8478494,BCA-104462,1/7/2022
760 Bluejay Rd #31,Big Bear Lake,CA,92315,34.2390963,-116.9483029,BCA-105502,5/14/2022
760 Bluejay Rd #33,Big Bear Lake,CA,92315,34.2389854,-116.9484958,BCA-103122,7/15/2021
813 Boulder Rd,Big Bear Lake,CA,92315,34.2383831,-116.9539736,BCA-104055,11/5/2021
43241 Bow Canyon Rd,Big Bear Lake,CA,92315,34.233273,-116.8588477,BCA-103490,10/7/2021
1218 Bow Canyon Ct,Big Bear Lake,CA,92315,34.2304343,-116.8534982,BCA-103321,8/20/2021
42558 Cedar Ave,Big Bear Lake,CA,92315,34.237072,-116.8736647,BCA-102830,6/17/2021
42575 Cedar Ave,Big Bear Lake,CA,92315,34.2366332,-116.873262,BCA-104019,11/15/2021
697 Chipmunk Ln,Big Bear Lake,CA,92315,34.2404912,-116.9432723,BCA-103084,8/6/2021
451 Cienega Rd,Big Bear Lake,CA,92315,34.2445538,-116.9434563,BCA-103727,10/1/2021
571 Cienega Rd,Big Bear Lake,CA,92315,34.2426888,-116.9434049,BCA-103030,7/18/2021
1177 Bear Meadows Ln,Big Bear Lake,CA,92315,34.2311,-116.862007,BCA-104141,11/7/2021
39049 Big Bear Blvd,Big Bear Lake,CA,92315,34.2378967,-116.9500913,BCA-103214,9/28/2021
39217 Big Bear Blvd,Big Bear Lake,CA,92315,34.238345,-116.946487,BCA-105127,2/4/2022
40161 Big Bear Blvd,Big Bear Lake,CA,92315,34.2393963,-116.92593,BCA-103564,10/14/2021
41935 Switzerland Dr # 122,Big Bear Lake,CA,92315,34.2360952,-116.8870906,BCA-104025,11/2/2021
41935 Switzerland Dr Apt 22,Big Bear Lake,CA,92315,34.2364979,-116.887335,BCA-102107,5/30/2021
41935 Switzerland Dr APT 12,Big Bear Lake,CA,92315,34.2369118,-116.8867496,BCA-103682,11/16/2021
1032 Sylvan Glen,Big Bear Lake,CA,92315,34.233421,-116.866059,BCA-103447,8/13/2021
654 Cienega Rd,Big Bear Lake,CA,92315,34.2405085,-116.9428583,BCA-104823,1/12/2022
663 Cienega Rd Unit D,Big Bear Lake,CA,92315,34.240455,-116.941178,BCA-103842,10/7/2021
749 Cienega Rd Unit B,Big Bear Lake,CA,92315,34.239429,-116.9412944,BCA-104127,11/14/2021
793 Cienega Rd Unit B,Big Bear Lake,CA,92315,34.238772,-116.941297,BCA-103295,8/18/2021
43008 Clover Dr,Big Bear Lake,CA,92315,34.2261805,-116.8636777,BCA-103973,11/10/2021
1125 Club View Dr,Big Bear Lake,CA,92315,34.2318343,-116.8635874,BCA-103921,10/15/2021
981 Colusa Ln,Big Bear Lake,CA,92315,34.2345375,-116.8512548,BCA-105391,3/3/2022
43645 Colusa Dr,Big Bear Lake,CA,92315,34.2331166,-116.8501043,BCA-104971,2/14/2022
39597 Lake Dr,Big Bear Lake,CA,92315,34.24761,-116.938434,BCA-104339,11/11/2021
39609 Lake Dr,Big Bear Lake,CA,92315,34.2473518,-116.9378789,BCA-102904,8/3/2021
478 Lakeview Ct,Big Bear Lake,CA,92315,34.2442146,-116.9206167,BCA-103810,10/6/2021
39880 Lakeview Dr,Big Bear Lake,CA,92315,34.2481604,-116.9319787,BCA-102409,7/29/2021
39908 Lakeview Dr,Big Bear Lake,CA,92315,34.2485114,-116.9313123,BCA-104751,1/15/2022
40153 Lakeview Dr,Big Bear Lake,CA,92315,34.2472112,-116.9262521,BCA-103965,7/25/2021
39802 Lakeview Dr #17,Big Bear Lake,CA,92315,34.249065,-116.933749,BCA-105278,2/26/2022
539 Lakewood Ln Unit A,Big Bear Lake,CA,92315,34.2429628,-116.9265971,BCA-105124,3/4/2022
636 Lakewood Ln,Big Bear Lake,CA,92315,34.2411626,-116.9268041,BCA-105154,3/12/2022
41671 Mcwhinney Ln,Big Bear Lake,CA,92315,34.24133450000001,-116.8929896,BCA-104883,2/13/2022
665 Metcalf Ln,Big Bear Lake,CA,92315,34.24093939999999,-116.9342419,BCA-105201,2/11/2022
39383 Moab Ln,Big Bear Lake,CA,92315,34.237416,-116.942905,BCA-104308,11/12/2021
741 Jeffries Rd,Big Bear Lake,CA,92315,34.2391401,-116.9017773,BCA-102512,7/18/2021
892 Jeffries Rd,Big Bear Lake,CA,92315,34.2364698,-116.9025134,BCA-103852,10/9/2021
42401 Juniper Dr,Big Bear Lake,CA,92315,34.2503163,-116.8769316,BCA-104096,10/27/2021
42527 Juniper Dr,Big Bear Lake,CA,92315,34.2503492,-116.8744009,BCA-103778,11/14/2021
42673 Juniper Dr,Big Bear Lake,CA,92315,34.2498462,-116.87141,BCA-104759,1/29/2022
945 Knickerbocker Rd,Big Bear Lake,CA,92315,34.235363,-116.909986,BCA-102785,8/23/2021
458 Knight Ave,Big Bear Lake,CA,92315,34.2443693,-116.9038476,BCA-103566,9/15/2021
771 Knight Ave,Big Bear Lake,CA,92315,34.2386886,-116.9040317,BCA-103017,7/21/2021
222 Knoll Rd,Big Bear Lake,CA,92315,34.2488016,-116.9365564,BCA-104985,1/26/2022
268 Oriole Dr,Big Bear Lake,CA,92315,34.247757,-116.8976826,BCA-104373,12/5/2021
387 Oriole Dr,Big Bear Lake,CA,92315,34.2455845,-116.8969924,BCA-105125,3/2/2022
404 Oriole Dr,Big Bear Lake,CA,92315,34.2452529,-116.8975445,BCA-104225,11/5/2021
420 Oriole Dr SE,Marietta,GA,30067,33.939984,-84.49464619999999,BCA-105152,3/4/2022
41744 Park Ave,Big Bear Lake,CA,92315,34.2450968,-116.8913793,BCA-104376,12/5/2021
39309 Peak Ln,Big Bear Lake,CA,92315,34.2405816,-116.9444223,BCA-104584,11/24/2021
685 Georgia St,Big Bear Lake,CA,92315,34.2401536,-116.900213,BCA-104008,11/18/2021
369 Gibralter Rd,Big Bear Lake,CA,92315,34.2458364,-116.9222728,BCA-102582,6/25/2021
40307 Gibralter Landing,Big Bear Lake,CA,92315,34.244318,-116.9224798,BCA-104196,11/3/2021
40183 Glen Rd,Big Bear Lake,CA,92315,34.2452872,-116.925194,BCA-103777,9/21/2021
40005 Glenview Rd,Big Bear Lake,CA,92315,34.2418528,-116.9292077,BCA-103747,11/20/2021
785 Golden W Dr,Big Bear,CA,92314,34.2380984,-116.8891248,BCA-104121,11/16/2021
41813 Golden W Pl,Big Bear Lake,CA,92315,34.2384595,-116.8899414,BCA-104524,11/9/2021
646 Golden W Dr,Big Bear Lake,CA,92315,34.2406182,-116.8895389,BCA-105352,5/8/2022
43065 Goldmine Woods Ln,Big Bear Lake,CA,92315,34.23189,-116.862979,BCA-104419,11/18/2021
803 Great Spirits Way,Big Bear Lake,CA,92315,34.238085,-116.907675,BCA-103693,10/10/2021
1380 Primrose Ct,Big Bear Lake,CA,92315,34.2269016,-116.85443,BCA-103231,8/13/2021
43365 Primrose Dr,Big Bear Lake,CA,92315,34.226042,-116.8558566,BCA-104652,1/4/2022
40148 Mill Creek Rd,Big Bear Lake,CA,92315,34.2371985,-116.9263614,BCA-102477,6/4/2021
39016 Robin Rd,Big Bear Lake,CA,92315,34.2434284,-116.9505912,BCA-104836,1/12/2022
39177 Robin Rd,Big Bear Lake,CA,92315,34.2427396,-116.9471707,BCA-104869,1/15/2022
1429 Rockspray Dr,Big Bear Lake,CA,92315,34.2255102,-116.8545221,BCA-103623,9/5/2021
387 Eureka Dr,Big Bear Lake,CA,92315,34.2455763,-116.8980506,BCA-104372,12/11/2021
820 Eureka Dr,Big Bear Lake,CA,92315,34.2377365,-116.8985107,BCA-104083,11/14/2021
902 Eureka St,Eureka,CA,95503,40.7607164,-124.180967,BCA-103903,10/29/2021
41893 Evergreen Dr Unit A,Big Bear Lake,CA,92315,34.239443,-116.8882045,BCA-102363,5/31/2021
41992 Evergreen Dr,Big Bear Lake,CA,92315,34.239804,-116.885924,BCA-105086,1/27/2022
42307 Evergreen Dr,Big Bear Lake,CA,92315,34.240559,-116.8791172,BCA-104354,12/9/2021
42930 Fairy Ave,Big Bear Lake,CA,92315,34.232694,-116.865538,BCA-104410,11/17/2021
462 Fallen Leaf Rd,Big Bear Lake,CA,92315,34.2575807,-116.8762644,BCA-105511,4/19/2022
42946 Fern Ave,Big Bear,CA,92314,34.2320501,-116.8651943,BCA-104546,12/18/2021
43903 Yosemite Dr,Big Bear Lake,CA,92315,34.2293873,-116.8442138,BCA-102845,7/14/2021
861 Thrush Dr #44,Big Bear Lake,CA,92315,34.2362213,-116.8889999,BCA-104856,2/9/2022
41668 Thrush Ct,Big Bear Lake,CA,92315,34.2364587,-116.8931736,BCA-103336,9/28/2021
762 Tomahawk Dr,Big Bear Lake,CA,92315,34.2384642,-116.8877444,BCA-104389,12/28/2021
43399 Shasta Rd,Big Bear Lake,CA,92315,34.2285673,-116.8553964,BCA-102394,5/29/2021
43130 Sheephorn Rd,Big Bear Lake,CA,92315,34.234556,-116.8616087,BCA-105460,3/19/2022
43160 Sheephorn Rd,Big Bear Lake,CA,92315,34.2341702,-116.8611946,BCA-104890,1/12/2022
43310 Sheephorn Rd,Big Bear Lake,CA,92315,34.2353349,-116.8577893,BCA-103575,10/6/2021
593 Silver Tip Dr,Big Bear Lake,CA,92315,34.2413552,-116.8638635,BCA-104528,10/10/2021
718 Silver Tip Dr,Big Bear Lake,CA,92315,34.23909,-116.864234,BCA-103644,9/5/2021
771 Silver Tip Dr,Big Bear Lake,CA,92315,34.2381718,-116.8621609,BCA-104976,2/24/2022
40622 Simonds Dr,Big Bear Lake,CA,92315,34.2444147,-116.9157632,BCA-103840,11/5/2021
592 Douglas St,Big Bear Lake,CA,92315,34.2415333,-116.8706277,BCA-104404,12/6/2021
312 Dove Ct,Big Bear Lake,CA,92315,34.2468714,-116.8923915,BCA-104426,11/14/2021
122 N Eagle Rd,Eagle,ID,83616,43.6963324,-116.3536132,BCA-104191,11/1/2021
42348 Eagle Ridge,Big Bear Lake,CA,92315,34.2572016,-116.878128,BCA-105179,3/21/2022
295 Stony Creek Rd,Big Bear Lake,CA,92315,34.2545039,-116.8668545,BCA-105079,2/6/2022
596 Summit Ave Unit A,St Paul,MN,55102,44.9410007,-93.1253169,BCA-104603,12/14/2021
620 Summit Blvd,Big Bear Lake,CA,92315,34.241062,-116.888773,BCA-103590,10/3/2021
796 Summit Blvd,Big Bear Lake,CA,92315,34.2379219,-116.8888487,BCA-103636,9/18/2021
451 Sunny Ln,Big Bear Lake,CA,92315,34.2444615,-116.9303923,BCA-104913,2/1/2022
42985 Sunset Dr,Big Bear Lake,CA,92315,34.2393399,-116.8645537,BCA-103417,10/1/2021
43058 Sunset Dr,Big Bear Lake,CA,92315,34.239654,-116.862928,BCA-102612,7/5/2021
41516 Swan Dr,Big Bear Lake,CA,92315,34.248215,-116.8965093,BCA-103631,9/2/2021
792 Switzerland Pl,Big Bear Lake,CA,92315,34.2379857,-116.8907121,BCA-105155,3/4/2022
41869 Switzerland Dr #9,Big Bear Lake,CA,92315,34.237342,-116.888733,BCA-103478,10/12/2021
41935 Switzerland Dr Apt 105,Big Bear Lake,CA,92315,34.2360844,-116.8860287,BCA-104649,12/4/2021
41694 Comstock Ln,Big Bear Lake,CA,92315,34.2408921,-116.8924746,BCA-103837,11/2/2021
42753 Conifer Dr,Big Bear Lake,CA,92315,34.24226600000001,-116.8695694,BCA-103862,10/10/2021
842 Conklin Rd,Big Bear Lake,CA,92315,34.2373334,-116.8997069,BCA-104758,1/29/2022
42745 Willow Ave,Big Bear Lake,CA,92315,34.2359604,-116.869531,BCA-103540,9/25/2021
38994 Willow Landing Rd,Big Bear Lake,CA,92315,34.2410945,-116.951276,BCA-102585,6/28/2021
39233 Willow Landing Rd,Big Bear Lake,CA,92315,34.2391619,-116.9461702,BCA-105300,3/1/2022
42045 Winterpark Dr,Big Bear Lake,CA,92315,34.2403157,-116.8848457,BCA-103748,9/30/2021
363 Wren Dr,Big Bear Lake,CA,92315,34.2460138,-116.8960262,BCA-102571,6/13/2021
395 Wren Dr,Big Bear Lake,CA,92315,34.2454098,-116.8960262,BCA-103226,9/1/2021
606 Wren Dr,Big Bear Lake,CA,92315,34.2415858,-116.8965323,BCA-103522,9/21/2021
43827 Yosemite Dr,Big Bear Lake,CA,92315,34.2301439,-116.8459626,BCA-103046,9/14/2021
1301 Lassen Dr,Big Bear,CA,92314,34.2284144,-116.8579274,BCA-104830,11/5/2021
1373 Lassen Dr,Big Bear Lake,CA,92315,34.2275157,-116.8574672,BCA-104536,12/14/2021
40104 Mahanoy Ln,Big Bear Lake,CA,92315,34.2418,-116.9270456,BCA-103676,10/21/2021
40218 Mahanoy Ln,Big Bear Lake,CA,92315,34.2416312,-116.9246075,BCA-105269,4/5/2022
40260 Mahanoy Ln,Big Bear Lake,CA,92315,34.2417224,-116.9237104,BCA-105151,3/4/2022
569 Main St,Big Bear Lake,CA,92315,34.2422623,-116.9057799,BCA-102977,7/9/2021
676 Main St,Warren,RI,02885,41.725555,-71.28133199999999,BCA-103089,6/6/2021
701 Marin Rd,Big Bear Lake,CA,92315,34.23997020000001,-116.9069186,BCA-105232,3/6/2022
41656 Mcwhinney Ln,Big Bear Lake,CA,92315,34.2417014,-116.8933117,BCA-104899,1/20/2022
42624 La Cerena Ave,Big Bear Lake,CA,92315,34.2376901,-116.8722382,BCA-103922,10/15/2021
42707 La Cerena Ave,Big Bear Lake,CA,92315,34.237282,-116.870393,BCA-104535,11/30/2021
42613 La Placida Ave,Big Bear Lake,CA,92315,34.237949,-116.872491,BCA-104239,11/6/2021
42670 La Placida Ave,Big Bear Lake,CA,92315,34.2383257,-116.8712263,BCA-104391,12/18/2021
42714 La Placida Ave,Big Bear Lake,CA,92315,34.2383175,-116.8702596,BCA-103042,8/13/2021
133 Lagunita Ln,Big Bear Lake,CA,92315,34.25054739999999,-116.9302772,BCA-103963,10/7/2021
43025 Monterey St,Big Bear Lake,CA,92315,34.2405013,-116.8635989,BCA-103451,8/16/2021
42638 Moonridge Rd,Big Bear Lake,CA,92315,34.240483,-116.8720082,BCA-103159,9/12/2021
43134 Moonridge Rd,Big Bear Lake,CA,92315,34.2346845,-116.8605503,BCA-105380,3/7/2022
469 Morningstar Pl,Big Bear Lake,CA,92315,34.2578927,-116.8765635,BCA-104181,11/18/2021
43089 Grizzly Ct,Big Bear Lake,CA,92315,34.2390067,-116.8622069,BCA-103472,10/3/2021
40184 Guinan Ln,Big Bear Lake,CA,92315,34.2404508,-116.9253435,BCA-103405,8/28/2021
40217 Guinan Ln,Big Bear Lake,CA,92315,34.24014349999999,-116.924642,BCA-104002,11/21/2021
40241 Guinan Ln,Big Bear Lake,CA,92315,34.2400544,-116.9241244,BCA-104819,2/9/2022
42749 Haupstrasse Dr,Big Bear Lake,CA,92315,34.2441255,-116.8694544,BCA-103586,10/2/2021
42267 Heavenly Valley Rd,Big Bear Lake,CA,92315,34.2394777,-116.8799455,BCA-103957,11/28/2021
42384 Heavenly Valley Rd,Big Bear Lake,CA,92315,34.24018119999999,-116.8776448,BCA-104975,2/21/2022
40085 Highland Ln,Big Bear Lake,CA,92315,34.23895390000001,-116.9276321,BCA-104795,1/7/2022
40010 Hillcrest Dr,Big Bear Lake,CA,92315,34.2389921,-116.9290467,BCA-103396,8/21/2021
789 Iris Dr,Big Bear Lake,CA,92315,34.2384854,-116.9337043,BCA-102657,6/19/2021
40575 Ironwood Dr,Big Bear Lake,CA,92315,34.2366765,-116.9156252,BCA-104766,12/15/2021
40588 Ironwood Dr,Big Bear Lake,CA,92315,34.237469,-116.9163613,BCA-105208,2/16/2022
888 Jay Bird Ln,Big Bear Lake,CA,92315,34.2365963,-116.9303678,BCA-104648,1/30/2022
323 Knight Ave,Big Bear Lake,CA,92315,34.2467633,-116.9033717,BCA-104672,11/23/2021
603 Summit Blvd,Big Bear Lake,CA,92315,34.2414596,-116.8882023,BCA-105134,2/5/2022
429 Wren Dr,Big Bear Lake,CA,92315,34.2447874,-116.8960012,BCA-102584,6/25/2021
43160 Moonridge Rd,Big Bear Lake,CA,92315,34.2319189,-116.8601772,BCA-103775,10/30/2021
699 Conklin Rd,Big Bear Lake,CA,92315,34.2399418,-116.8990628,BCA-103969,11/7/2021
43686 Ridgecrest Dr,Big Bear,CA,92314,34.2256211,-116.8489055,BCA-104079,11/13/2021
42055 Winterpark Dr,Big Bear Lake,CA,92315,34.2404163,-116.8844814,BCA-103878,11/19/2021
266 Eureka Dr,Big Bear Lake,CA,92315,34.2477648,-116.8985452,BCA-104789,1/5/2022
42559 Alta Vista Ave,Big Bear Lake,CA,92315,34.2424764,-116.8738027,BCA-102371,6/18/2021
42598 Alta Vista Ave,Big Bear Lake,CA,92315,34.243002,-116.873035,BCA-104192,11/1/2021
885 Andrew Ln,Big Bear Lake,CA,92315,34.2367346,-116.914015,BCA-103578,9/15/2021
1228 Aspen Dr,Big Bear Lake,CA,92315,34.2279118,-116.8657041,BCA-103355,10/12/2021
39366 Aurora Rd,Big Bear Lake,CA,92315,34.2454818,-116.9427663,BCA-103221,9/7/2021
42325 Avalon Rd,Big Bear Lake,CA,92315,34.2446071,-116.8787721,BCA-105160,3/23/2022
42346 Avalon Rd,Big Bear Lake,CA,92315,34.24510430000001,-116.8785421,BCA-102753,8/17/2021
42356 Avalon Rd,Big Bear Lake,CA,92315,34.2451771,-116.878404,BCA-104825,10/20/2021
42437 Balboa Ln,Big Bear Lake,CA,92315,34.2436858,-116.8767016,BCA-104993,2/17/2022
1247 Balsam Dr,Big Bear Lake,CA,92315,34.2291593,-116.8659227,BCA-103841,10/7/2021
42537 Peregrine Ave,Big Bear Lake,CA,92315,34.2386624,-116.8741363,BCA-103518,10/16/2021
42674 Peregrine Ave,Big Bear Lake,CA,92315,34.2390161,-116.8712259,BCA-104117,11/1/2021
207 Pinecrest Dr,Big Bear Lake,CA,92315,34.2485937,-116.8917473,BCA-105251,3/2/2022
43151 Plymouth Rd,Big Bear Lake,CA,92315,34.2377375,-116.8608839,BCA-103563,9/15/2021
39567 Forest Rd,Big Bear Lake,CA,92315,34.2500807,-116.9389539,BCA-104319,11/20/2021
445 Fox Dr,Big Bear Lake,CA,92315,34.2440436,-116.8737577,BCA-104035,11/6/2021
42385 Fox Farm Rd,Big Bear Lake,CA,92315,34.2489269,-116.8775298,BCA-103884,10/31/2021
42386 Fox Farm Rd,Big Bear Lake,CA,92315,34.2494504,-116.8775298,BCA-103085,8/23/2021
42470 Fox Farm Rd,Big Bear Lake,CA,92315,34.2494057,-116.8760114,BCA-105364,4/15/2022
426 Georgia St,Big Bear Lake,CA,92315,34.2449466,-116.9007191,BCA-102670,6/14/2021
